Sr. No.,Sector,Name Of Course,Online,Duration,Required Age,Minimum Education,Requisites,Language,Required Description,For Certification Advanced Module,Video Link To Embed,Project Under Hadp,Skill Training Course,Title Of Lectures,Link Kashmiri Video,Link Urdu Video,Link Dogri Video,Link Hindi Video,Course Language,Uploaded From,Uploaded Date
395,Retailers Association's,Distributor salesman(Version 2.0 & 3.0 ),Free,04:57 hours,Any,Grade 10 with No Experience required.,Previous relevant Qualification of NSQF Level 2 with 1 year relevant experience,English,"This course addresses the domain NOSs. Individuals in this position visits retail/wholesale outlets as per daily route plan & makes sales call using relevant selling aids like handhelds to increase productivity and achieve sales targets, demonstrate commanding knowledge of the trade being serviced by him/her and the existing competitors. He/she identifies new outlets to increase sales of the products and provide service facilitating resolution of trade problems related to products and company being represented by the salesman. He/she creates demand at point of sale by creating visibility for products putting POSM (Point of sales material) and merchandising elements like counter top/shelves or racks depending on the category of product he/she sells. Hence, he/she needs to influence & own the execution standards of availability and in store visibility.",https://www.skillindiadigital.gov.in/courses/detail/da7bdf56-63d2-4094-81b7-3bfa974e1d85,null,null,null,null,null,null,null,null,null,,null
396,Retailers Association's,Distributor Salesman(Hindi)(V2.0 & 3.0 ),Free,04:57 hours,Any,Grade 10 with No Experience required.,Previous relevant Qualification of NSQF Level 2 with 1 year relevant experience,Hindi,"This course addresses the domain NOSs. Individuals in this position visits retail/wholesale outlets as per daily route plan & makes sales call using relevant selling aids like handhelds to increase productivity and achieve sales targets, demonstrate commanding knowledge of the trade being serviced by him/her and the existing competitors. He/she identifies new outlets to increase sales of the products and provide service facilitating resolution of trade problems related to products and company being represented by the salesman. He/she creates demand at point of sale by creating visibility for products putting POSM (Point of sales material) and merchandising elements like counter top/shelves or racks depending on the category of product he/she sells. Hence, he/she needs to influence & own the execution standards of availability and in store visibility.",https://www.skillindiadigital.gov.in/courses/detail/ca6cee21-b934-4166-b6a9-0ceb703ef94f,null,null,null,null,null,null,null,null,null,,null
397,Retailers Association's,Trainee Associate - Hindi,Free,03:35 hours,Any,Any,NA,Hindi,Individuals in this position display merchandise and  interact with customers to understand their needs to service them with sales of  relevant product offerings whilst working cordially within the team and retail  organisation.,https://www.skillindiadigital.gov.in/courses/detail/67ba3b87-d24e-4474-8dd4-f02de1a8a93d,null,null,null,null,null,null,null,null,null,,null
398,Retailers Association's,Trainee Associate,Free,3:35 hours,Any,Any,NA,English,Individuals in this position display merchandise and  interact with customers to understand their needs to service them with sales of  relevant product offerings whilst working cordially within the team and retail  organisation.,https://www.skillindiadigital.gov.in/courses/detail/d73650fc-420d-47d4-bad9-014fcc730c14,null,null,null,null,null,null,null,null,null,,null
399,Telecom,Tower Technician,"Paid, Rs.199",03:00 hours,18+,11th grade pass,NA,English,"Tower Technician is responsible for the overall up-time of the site. He is to undertake on-site preventing and corrective maintenance and should be able to react to the alarms/alerts and take appropriate actions to mitigate the issue, and if required, escalate the issues to his superiors. He is to account for onsite equipment's, spares and diesel storage/filling and maintain appropriate records. He is responsible for overall hygiene of the site.",https://www.skillindiadigital.gov.in/courses/detail/e46cfabf-1fb0-4faa-83e7-423b6753c2b8,null,null,null,null,null,null,null,null,null,,null
400,Telecom,Telemedicine,"Paid, Rs.199",03:00 hours,18+,10th grade pass,NA,English,"""IoT in Telemedicine"" is an innovative course that explores the intersection of Internet of Things (IoT) technology and telemedicine, revolutionizing healthcare delivery. In this course, students will delve into the principles, applications, and challenges of utilizing IoT devices and connectivity in the field of telemedicine. They will learn how IoT enables the seamless collection and transmission of patient data, remote monitoring, and real-time communication between healthcare providers and patients and securing  IoT-based telemedicine solutions.",https://www.skillindiadigital.gov.in/courses/detail/bce826f0-ada8-490b-adfc-e16ae09f849a,null,null,null,null,null,null,null,null,null,,null
401,Telecom,Optical Fibre Technician (OFT),"Paid, Rs.199",04:00 hours,18+,11th grade pass,NA,English,The individual in this job coordinates the activities for installation and commissioning of Optical Fiber Cables (OFCs) and maintains the up-time and quality of the network segment (both optical media & equipment) by undertaking periodic preventive maintenance activities and ensuring effective fault management in case of fault occurrence.,https://www.skillindiadigital.gov.in/courses/detail/200c0367-ad8f-4ce2-8bae-aa76970ac040,null,null,null,null,null,null,null,null,null,,null
402,Telecom,Optical Fibre Splicer (OFS),"Paid, Rs.199",04:00 hours,18+,9th grade pass,NA,English,The individual in this job ensures efficient splicing of the optical fiber cables and test effectiveness and record the test results.,https://www.skillindiadigital.gov.in/courses/detail/a0b72b8f-77c6-4297-b358-6a05f28caf11,null,null,null,null,null,null,null,null,null,,null
403,Telecom,Line Assembler,"Paid, Rs.199",02:00 hours,18+,11th grade pass,NA,English,"Introduction to assembly lines and their historical significance.,Design and layout considerations for efficient assembly lines.,Overview of assembly line equipment, tools, and automation.,Standard operating procedures, workflow, and employee training.,Material handling, logistics, and Just-In-Time (JIT) inventory systems.,Quality assurance, control, and continuous improvement methodologies.,Troubleshooting, maintenance, and downtime reduction strategies.,Human resource management and motivation in line assembly.,Environmental sustainability practices in assembly lines.,Case studies, industry applications, and future trends in line assembly.",https://www.skillindiadigital.gov.in/courses/detail/271b80cc-e1af-4c8c-bcdb-203bdb2aa7dd,null,null,null,null,null,null,null,null,null,,null
404,Telecom,In-store Promoter,"Paid, Rs.199",02:00 hours,18+,9th grade pass,NA,English,"The individual in this job role is responsible for demonstrating and highlighting the product Features,,Advantages and Benefits (FAB), approach to customers, offering them the opportunity to touch and feel the,products on display and responding to queries on products and services.",https://www.skillindiadigital.gov.in/courses/detail/9cbf7729-a5ac-41ac-b148-beee8f51a0f0,null,null,null,null,null,null,null,null,null,,null
405,Telecom,Handheld Device (Handset & Tablet) Technician,"Paid, Rs.199",04:00 hours,18+,11th grade pass,NA,English,The individual in this job is responsible for repairing handsets for various hardware and software issues under supervision of a senior. The individual is responsible for helping seniors in testing the handset for adequacy post repair/service.,https://www.skillindiadigital.gov.in/courses/detail/d375a37d-a475-4e0e-9492-0e7765b95f1e,null,null,null,null,null,null,null,null,null,,null
406,Telecom,Field Sales Executive,"Paid, Rs.199",04:00 hours,18+,9th grade pass,NA,English,"The individual in this job role visits customers to deliver prepaid telecom products/services to retailers. The,individual is also responsible for achieving monthly revenue target, increasing width and depth of,distribution, adhering to process compliance for new customer enrollment and increasing customer base.,Additionally, the individual may be responsible for selling broadband subscriptions.",https://www.skillindiadigital.gov.in/courses/detail/a7930c2b-0028-4299-940b-08eb2d3940dd,null,null,null,null,null,null,null,null,null,,null
